x y z
0.121212 0.252525 0.603631
0.121212 0.303030 0.543336
0.121212 0.353535 0.481656
0.121212 0.404040 0.418747
0.121212 0.454545 0.354771
0.121212 0.505051 0.289890
0.121212 0.555556 0.224269
0.121212 0.606061 0.158077
0.121212 0.656566 0.091481
0.121212 0.707071 0.024652
0.121212 0.757576 -0.042239
0.121212 0.808081 -0.109023
0.121212 0.858586 -0.175529
0.121212 0.909091 -0.241588
0.121212 0.959596 -0.307030
0.121212 1.010101 -0.371689
0.121212 1.060606 -0.435400
0.121212 1.111111 -0.498001
0.121212 1.161616 -0.559332
0.121212 1.212121 -0.619237
0.121212 1.262626 -0.677562
0.121212 1.313131 -0.734160
0.121212 1.363636 -0.788885
0.121212 1.414141 -0.841598
0.121212 1.464646 -0.892165
0.121212 1.515152 -0.940457
0.121212 1.565657 -0.986351
0.121212 1.616162 -1.029729
0.121212 1.666667 -1.070481
0.121212 1.717172 -1.108503
0.121212 1.767677 -1.143698
0.121212 1.818182 -1.175976
0.121212 1.868687 -1.205256
0.121212 1.919192 -1.231462
0.121212 1.969697 -1.254527
0.121212 2.020202 -1.274393
0.121212 2.070707 -1.291009
0.121212 2.121212 -1.304333
0.121212 2.171717 -1.314330
0.121212 2.222222 -1.320976
0.121212 2.272727 -1.324252
0.121212 2.323232 -1.324152
0.121212 2.373737 -1.320675
0.121212 2.424242 -1.313829
0.121212 2.474747 -1.303633
0.121212 2.525253 -1.290113
0.121212 2.575758 -1.273303
0.121212 2.626263 -1.253245
0.121212 2.676768 -1.229991
0.121212 2.727273 -1.203601
0.121212 2.777778 -1.174141
0.121212 2.828283 -1.141687
0.121212 2.878788 -1.106321
0.121212 2.929293 -1.068134
0.121212 2.979798 -1.027223
0.121212 3.030303 -0.983692
0.121212 3.080808 -0.937653
0.121212 3.131313 -0.889222
0.121212 3.181818 -0.838524
0.121212 3.232323 -0.785687
0.121212 3.282828 -0.730847
0.121212 3.333333 -0.674142
0.121212 3.383838 -0.615719
0.121212 3.434343 -0.555725
0.121212 3.484848 -0.494315
0.121212 3.535354 -0.431643
0.121212 3.585859 -0.367871
0.121212 3.636364 -0.303160
0.121212 3.686869 -0.237677
0.121212 3.737374 -0.171587
0.121212 3.787879 -0.105060
0.121212 3.838384 -0.038265
0.121212 3.888889 0.028628
0.121212 3.939394 0.095448
0.121212 3.989899 0.162024
0.121212 4.040404 0.228187
0.121212 4.090909 0.293768
0.121212 4.141414 0.358600
0.121212 4.191919 0.422518
0.121212 4.242424 0.485358
0.121212 4.292929 0.546960
0.121212 4.343434 0.607167
0.121212 4.393939 0.665826
0.121212 4.444444 0.722787
0.121212 4.494949 0.777905
0.121212 4.545455 0.831039
0.121212 4.595960 0.882053
0.121212 4.646465 0.930819
0.121212 4.696970 0.977210
0.121212 4.747475 1.021109
0.121212 4.797980 1.062404
0.121212 4.848485 1.100990
0.121212 4.898990 1.136768
0.121212 4.949495 1.169647
0.121212 5.000000 1.199543
0.141414 0.000000 0.859053
0.141414 0.050505 0.808120
0.141414 0.101010 0.755127
0.141414 0.151515 0.700208
0.141414 0.202020 0.643504
0.141414 0.252525 0.585158
0.141414 0.303030 0.525320
0.141414 0.353535 0.464143
0.141414 0.404040 0.401781
0.141414 0.454545 0.338396
0.141414 0.505051 0.274147
0.141414 0.555556 0.209199
0.141414 0.606061 0.143717
0.141414 0.656566 0.077869
0.141414 0.707071 0.011823
0.141414 0.757576 -0.054254
0.141414 0.808081 -0.120193
0.141414 0.858586 -0.185825
0.141414 0.909091 -0.250983
0.141414 0.959596 -0.315500
0.141414 1.010101 -0.379214
0.141414 1.060606 -0.441960
0.141414 1.111111 -0.503579
0.141414 1.161616 -0.563914
0.141414 1.212121 -0.622811
0.141414 1.262626 -0.680119
0.141414 1.313131 -0.735694
0.141414 1.363636 -0.789391
0.141414 1.414141 -0.841076
0.141414 1.464646 -0.890616
0.141414 1.515152 -0.937885
0.141414 1.565657 -0.982761
0.141414 1.616162 -1.025132
0.141414 1.666667 -1.064888
0.141414 1.717172 -1.101929
0.141414 1.767677 -1.136159
0.141414 1.818182 -1.167492
0.141414 1.868687 -1.195847
0.141414 1.919192 -1.221153
0.141414 1.969697 -1.243345
0.141414 2.020202 -1.262366
0.141414 2.070707 -1.278167
0.141414 2.121212 -1.290709
0.141414 2.171717 -1.299960
0.141414 2.222222 -1.305895
0.141414 2.272727 -1.308500
0.141414 2.323232 -1.307767
0.141414 2.373737 -1.303700
0.141414 2.424242 -1.296308
0.141414 2.474747 -1.285611
0.141414 2.525253 -1.271634
0.141414 2.575758 -1.254415
0.141414 2.626263 -1.233996
0.141414 2.676768 -1.210431
0.141414 2.727273 -1.183779
0.141414 2.777778 -1.154108
0.141414 2.828283 -1.121494
0.141414 2.878788 -1.086019
0.141414 2.929293 -1.047775
0.141414 2.979798 -1.006859
0.141414 3.030303 -0.963376
0.141414 3.080808 -0.917435
0.141414 3.131313 -0.869155
0.141414 3.181818 -0.818658
0.141414 3.232323 -0.766074
0.141414 3.282828 -0.711536
0.141414 3.333333 -0.655183
0.141414 3.383838 -0.597159
0.141414 3.434343 -0.537613
0.141414 3.484848 -0.476696
0.141414 3.535354 -0.414562
0.141414 3.585859 -0.351372
0.141414 3.636364 -0.287286
0.141414 3.686869 -0.222466
0.141414 3.737374 -0.157080
0.141414 3.787879 -0.091293
0.141414 3.838384 -0.025273
0.141414 3.888889 0.040811
0.141414 3.939394 0.106791
0.141414 3.989899 0.172499
0.141414 4.040404 0.237767
0.141414 4.090909 0.302429
0.141414 4.141414 0.366319
0.141414 4.191919 0.429275
0.141414 4.242424 0.491137
0.141414 4.292929 0.551745
0.141414 4.343434 0.610947
0.141414 4.393939 0.668591
0.141414 4.444444 0.724530
0.141414 4.494949 0.778621
0.141414 4.545455 0.830726
0.141414 4.595960 0.880713
0.141414 4.646465 0.928454
0.141414 4.696970 0.973827
0.141414 4.747475 1.016716
0.141414 4.797980 1.057013
0.141414 4.848485 1.094614
0.141414 4.898990 1.129424
0.141414 4.949495 1.161353
0.141414 5.000000 1.190321
0.161616 0.000000 0.839078
0.161616 0.050505 0.788395
0.161616 0.101010 0.735702
0.161616 0.151515 0.681133
